pop,cont_orig,cont_dest,site,treatment,block,plant_ID,sex,longevity,basal_lvs,stem_lvs,total_lvs,status,rep_spd,flwr_num,frt_num,frt_hadena,reproduced,smut,num_smutted_fl,leaf_herb,gen_ENMY,spec_ENMY,sire,dam,sibship,sire.pop,dam.pop,Structure_region
DK5,Europe,NorthAmerica,CA,CN,CA09,2322,F,7,186.0,214.0,400.0,19.0,7.0,2.0,14.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,29,30,15,2.0,2.0,2.0
PDRV,NorthAmerica,Europe,CH,FI,CH02,2323,V,5,12.0,24.0,36.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,67,68,34,5.0,5.0,5.0
GAP,Europe,Europe,UK,FI,UK08,2324,V,2,7.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,37,38,19,1.0,1.0,1.0
RVVW,NorthAmerica,Europe,CH,CN,CH02,2325,F,2,4.0,26.0,30.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,91,92,46,5.0,5.0,5.0
DK5,Europe,NorthAmerica,CA,FI,CA07,2326,F,7,58.0,111.0,169.0,13.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29,30,15,2.0,2.0,2.0
RNKE,NorthAmerica,Europe,CH,FI,CH08,2328,V,2,3.0,14.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79,80,40,3.0,3.0,3.0
RDGP,NorthAmerica,NorthAmerica,VA,FI,VA09,2329,F,7,35.0,79.0,114.0,12.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,77,78,39,3.0,3.0,3.0
JHN,NorthAmerica,NorthAmerica,CA,FI,CA04,2330,V,3,28.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,44,22,4.0,4.0,4.0
PDRV,NorthAmerica,Europe,CH,CN,CH02,2331,V,2,20.0,8.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,67,68,34,5.0,5.0,5.0
DCK,NorthAmerica,Europe,UK,FI,UK03,2333,F,6,19.0,118.0,137.0,13.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,27,28,14,4.0,4.0,4.0
PRT,Europe,Europe,CH,CN,CH11,2335,V,2,25.0,6.0,31.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75,76,38,1.0,1.0,1.0
CRE2,Europe,NorthAmerica,VA,CN,VA03,2336,M,7,46.0,99.0,145.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,25,26,13,1.0,1.0,1.0
WEB,NorthAmerica,NorthAmerica,VA,CN,VA05,2337,F,7,14.0,38.0,52.0,13.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,113,114,57,4.0,4.0,4.0
OSE1,Europe,Europe,UK,FI,UK02,2338,V,6,48.0,0.0,48.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,65,66,33,1.0,1.0,1.0
VES,Europe,NorthAmerica,CA,CN,CA03,2339,V,6,43.0,26.0,69.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,112,56,,,
ZAG,Europe,NorthAmerica,VA,FI,VA08,2341,V,7,48.0,88.0,136.0,12.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,117,118,59,2.0,2.0,2.0
DK5,Europe,Europe,UK,FI,UK07,2342,V,3,49.0,12.0,61.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,30,15,2.0,2.0,2.0
KBS,NorthAmerica,Europe,UK,CN,UK05,2343,V,2,17.0,24.0,41.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,47,48,24,4.0,4.0,4.0
SASB,NorthAmerica,Europe,UK,CN,UK09,2344,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,98,49,5.0,5.0,5.0
PLZ,Europe,Europe,UK,FI,UK07,2345,V,3,25.0,6.0,31.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,72,36,2.0,2.0,2.0
CHELD1,NorthAmerica,Europe,CH,FI,CH10,2346,F,7,20.0,183.0,203.0,19.0,7.0,1.0,21.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,17,18,9,3.0,3.0,3.0
GODA,Europe,NorthAmerica,CA,CN,CA04,2347,F,4,26.0,28.0,54.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,39,40,20,1.0,1.0,1.0
PLZ,Europe,NorthAmerica,CA,FI,CA12,2348,M,7,64.0,72.0,136.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,72,36,2.0,2.0,2.0
ZAG,Europe,NorthAmerica,CA,FI,CA02,2349,V,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,118,59,2.0,2.0,2.0
DK5,Europe,Europe,UK,FI,UK10,2350,F,7,43.0,64.0,107.0,14.0,21.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,29,30,15,2.0,2.0,2.0
MAI,Europe,NorthAmerica,VA,CN,VA07,2351,F,6,24.0,88.0,112.0,14.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,53,54,27,1.0,1.0,1.0
ZAG,Europe,Europe,CH,CN,CH01,2353,V,2,10.0,34.0,44.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,117,118,59,2.0,2.0,2.0
MSP,NorthAmerica,Europe,UK,CN,UK07,2354,V,6,12.0,10.0,22.0,8.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,59,60,30,3.0,3.0,3.0
RNKE,NorthAmerica,NorthAmerica,VA,CN,VA08,2355,M,7,73.0,310.0,383.0,13.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,79,80,40,3.0,3.0,3.0
