plant_ID,ID,sire,dam,subpop,sire.pop,dam.pop,Structure_region
2309,351,25,26,13,1,1,1
1567,352,25,26,13,1,1,1
1855,353,25,26,13,1,1,1
1290,354,25,26,13,1,1,1
2554,355,25,26,13,1,1,1
1862,356,25,26,13,1,1,1
1144,357,25,26,13,1,1,1
2593,358,25,26,13,1,1,1
107,359,27,28,14,4,4,4
1049,360,27,28,14,4,4,4
1375,361,27,28,14,4,4,4
2277,362,27,28,14,4,4,4
384,363,27,28,14,4,4,4
699,364,27,28,14,4,4,4
1940,365,27,28,14,4,4,4
104,366,27,28,14,4,4,4
1765,367,27,28,14,4,4,4
1959,368,27,28,14,4,4,4
703,369,27,28,14,4,4,4
1097,370,27,28,14,4,4,4
1217,371,27,28,14,4,4,4
2333,372,27,28,14,4,4,4
1218,373,27,28,14,4,4,4
425,374,27,28,14,4,4,4
985,375,27,28,14,4,4,4
74,376,27,28,14,4,4,4
657,377,27,28,14,4,4,4
1279,378,27,28,14,4,4,4
318,379,27,28,14,4,4,4
1700,380,27,28,14,4,4,4
600,381,27,28,14,4,4,4
1538,382,27,28,14,4,4,4
2310,383,27,28,14,4,4,4
1347,384,29,30,15,2,2,2
886,385,29,30,15,2,2,2
687,386,29,30,15,2,2,2
1518,387,29,30,15,2,2,2
342,388,29,30,15,2,2,2
1231,389,29,30,15,2,2,2
353,390,29,30,15,2,2,2
1924,391,29,30,15,2,2,2
1932,392,29,30,15,2,2,2
1813,393,29,30,15,2,2,2
2656,394,29,30,15,2,2,2
1439,395,29,30,15,2,2,2
2592,396,29,30,15,2,2,2
1029,397,29,30,15,2,2,2
2350,398,29,30,15,2,2,2
625,399,29,30,15,2,2,2
458,400,29,30,15,2,2,2
2236,401,29,30,15,2,2,2
2655,402,29,30,15,2,2,2
2401,403,29,30,15,2,2,2
26,404,29,30,15,2,2,2
162,405,29,30,15,2,2,2
2464,406,29,30,15,2,2,2
2395,407,29,30,15,2,2,2
2326,408,29,30,15,2,2,2
2322,409,29,30,15,2,2,2
1893,410,29,30,15,2,2,2
2988,411,31,32,16,2,2,2
2998,412,31,32,16,2,2,2
2985,413,31,32,16,2,2,2
3015,414,31,32,16,2,2,2
2992,415,31,32,16,2,2,2
2987,416,31,32,16,2,2,2
3010,417,31,32,16,2,2,2
2983,418,31,32,16,2,2,2
2972,419,31,32,16,2,2,2
3017,420,31,32,16,2,2,2
3004,421,31,32,16,2,2,2
3016,422,31,32,16,2,2,2
3003,423,31,32,16,2,2,2
3009,424,31,32,16,2,2,2
3007,425,31,32,16,2,2,2
3002,426,31,32,16,2,2,2
2993,427,31,32,16,2,2,2
3013,428,31,32,16,2,2,2
2995,429,31,32,16,2,2,2
3169,430,33,34,17,2,2,2
2511,431,33,34,17,2,2,2
2062,432,33,34,17,2,2,2
1322,433,33,34,17,2,2,2
1074,434,33,34,17,2,2,2
665,435,33,34,17,2,2,2
1961,436,33,34,17,2,2,2
544,437,33,34,17,2,2,2
1721,438,33,34,17,2,2,2
508,439,33,34,17,2,2,2
510,440,33,34,17,2,2,2
1155,441,33,34,17,2,2,2
1216,442,33,34,17,2,2,2
2666,443,33,34,17,2,2,2
2293,444,33,34,17,2,2,2
1956,445,33,34,17,2,2,2
2463,446,33,34,17,2,2,2
599,447,33,34,17,2,2,2
3168,448,33,34,17,2,2,2
1849,449,33,34,17,2,2,2
367,450,33,34,17,2,2,2
1828,451,33,34,17,2,2,2
601,452,33,34,17,2,2,2
2428,453,33,34,17,2,2,2
2668,454,33,34,17,2,2,2
2667,455,33,34,17,2,2,2
594,456,35,36,18,4,4,4
1219,457,35,36,18,4,4,4
188,458,35,36,18,4,4,4
117,459,35,36,18,4,4,4
1709,460,35,36,18,4,4,4
266,461,35,36,18,4,4,4
1374,462,35,36,18,4,4,4
2004,463,35,36,18,4,4,4
2439,464,35,36,18,4,4,4
1987,465,35,36,18,4,4,4
1113,466,35,36,18,4,4,4
431,467,35,36,18,4,4,4
1526,468,35,36,18,4,4,4
1630,469,35,36,18,4,4,4
156,470,35,36,18,4,4,4
398,471,35,36,18,4,4,4
174,472,35,36,18,4,4,4
2575,473,35,36,18,4,4,4
87,474,35,36,18,4,4,4
2187,475,35,36,18,4,4,4
1201,476,35,36,18,4,4,4
415,477,35,36,18,4,4,4
1379,478,35,36,18,4,4,4
91,479,35,36,18,4,4,4
1832,480,35,36,18,4,4,4
923,481,35,36,18,4,4,4
920,482,35,36,18,4,4,4
1537,483,35,36,18,4,4,4
2590,484,35,36,18,4,4,4
421,485,35,36,18,4,4,4
48,486,35,36,18,4,4,4
282,487,37,38,19,1,1,1
1441,488,37,38,19,1,1,1
1164,489,37,38,19,1,1,1
906,490,37,38,19,1,1,1
1127,491,37,38,19,1,1,1
1253,492,37,38,19,1,1,1
1149,493,37,38,19,1,1,1
2191,494,37,38,19,1,1,1
797,495,37,38,19,1,1,1
804,496,37,38,19,1,1,1
1242,497,37,38,19,1,1,1
2386,498,37,38,19,1,1,1
1195,499,37,38,19,1,1,1
1701,500,37,38,19,1,1,1
1735,501,37,38,19,1,1,1
2400,502,37,38,19,1,1,1
698,503,37,38,19,1,1,1
1521,504,37,38,19,1,1,1
1393,505,37,38,19,1,1,1
552,506,37,38,19,1,1,1
2047,507,37,38,19,1,1,1
833,508,37,38,19,1,1,1
2082,509,37,38,19,1,1,1
1747,510,37,38,19,1,1,1
1083,511,37,38,19,1,1,1
2268,512,37,38,19,1,1,1
2117,513,37,38,19,1,1,1
1589,514,39,40,20,1,1,1
1015,515,39,40,20,1,1,1
2226,516,39,40,20,1,1,1
137,517,39,40,20,1,1,1
2239,518,39,40,20,1,1,1
1502,519,39,40,20,1,1,1
63,520,39,40,20,1,1,1
1050,521,39,40,20,1,1,1
1087,522,39,40,20,1,1,1
1464,523,39,40,20,1,1,1
3159,524,39,40,20,1,1,1
3161,525,39,40,20,1,1,1
2347,526,39,40,20,1,1,1
3160,527,39,40,20,1,1,1
924,528,39,40,20,1,1,1
1669,529,39,40,20,1,1,1
3163,530,39,40,20,1,1,1
222,531,39,40,20,1,1,1
1355,532,39,40,20,1,1,1
1173,533,39,40,20,1,1,1
413,534,39,40,20,1,1,1
2286,535,39,40,20,1,1,1
451,536,39,40,20,1,1,1
1046,537,39,40,20,1,1,1
2177,538,39,40,20,1,1,1
3085,539,41,42,21,3,3,3
3071,540,41,42,21,3,3,3
3046,541,41,42,21,3,3,3
3047,542,41,42,21,3,3,3
3050,543,41,42,21,3,3,3
3044,544,41,42,21,3,3,3
3056,545,41,42,21,3,3,3
3064,546,41,42,21,3,3,3
3065,547,41,42,21,3,3,3
3051,548,41,42,21,3,3,3
3053,549,41,42,21,3,3,3
3054,550,41,42,21,3,3,3
3090,551,41,42,21,3,3,3
3080,552,41,42,21,3,3,3
3087,553,41,42,21,3,3,3
168,554,41,42,21,3,3,3
3088,555,41,42,21,3,3,3
3069,556,41,42,21,3,3,3
3063,557,41,42,21,3,3,3
3061,558,41,42,21,3,3,3
3057,559,41,42,21,3,3,3
3043,560,41,42,21,3,3,3
1981,561,41,42,21,3,3,3
3079,562,41,42,21,3,3,3
3059,563,41,42,21,3,3,3
3058,564,41,42,21,3,3,3
3062,565,41,42,21,3,3,3
3060,566,41,42,21,3,3,3
3055,567,41,42,21,3,3,3
3066,568,41,42,21,3,3,3
3052,569,41,42,21,3,3,3
3048,570,41,42,21,3,3,3
1343,571,43,44,22,4,4,4
893,572,43,44,22,4,4,4
1183,573,43,44,22,4,4,4
1094,574,43,44,22,4,4,4
1819,575,43,44,22,4,4,4
2135,576,43,44,22,4,4,4
2039,577,43,44,22,4,4,4
114,578,43,44,22,4,4,4
844,579,43,44,22,4,4,4
23,580,43,44,22,4,4,4
1931,581,43,44,22,4,4,4
1545,582,43,44,22,4,4,4
2598,583,43,44,22,4,4,4
2503,584,43,44,22,4,4,4
262,585,43,44,22,4,4,4
2093,586,43,44,22,4,4,4
133,587,43,44,22,4,4,4
1838,588,43,44,22,4,4,4
152,589,43,44,22,4,4,4
2625,590,43,44,22,4,4,4
1806,591,43,44,22,4,4,4
3027,592,43,44,22,4,4,4
554,593,43,44,22,4,4,4
346,594,43,44,22,4,4,4
2639,595,43,44,22,4,4,4
1719,596,43,44,22,4,4,4
807,597,45,46,23,4,4,4
742,598,45,46,23,4,4,4
1591,599,45,46,23,4,4,4
2371,600,45,46,23,4,4,4
864,601,45,46,23,4,4,4
2207,602,45,46,23,4,4,4
714,603,45,46,23,4,4,4
2646,604,45,46,23,4,4,4
3195,605,45,46,23,4,4,4
1588,606,45,46,23,4,4,4
291,607,45,46,23,4,4,4
729,608,45,46,23,4,4,4
1990,609,45,46,23,4,4,4
3032,610,45,46,23,4,4,4
3036,611,45,46,23,4,4,4
256,612,45,46,23,4,4,4
944,613,45,46,23,4,4,4
2638,614,45,46,23,4,4,4
1809,615,45,46,23,4,4,4
3180,616,45,46,23,4,4,4
1194,617,45,46,23,4,4,4
381,618,45,46,23,4,4,4
3033,619,45,46,23,4,4,4
745,620,45,46,23,4,4,4
360,621,45,46,23,4,4,4
3034,622,45,46,23,4,4,4
2359,623,47,48,24,4,4,4
149,624,47,48,24,4,4,4
791,625,47,48,24,4,4,4
2261,626,47,48,24,4,4,4
937,627,47,48,24,4,4,4
2363,628,47,48,24,4,4,4
1079,629,47,48,24,4,4,4
1921,630,47,48,24,4,4,4
505,631,47,48,24,4,4,4
2551,632,47,48,24,4,4,4
2250,633,47,48,24,4,4,4
1005,634,47,48,24,4,4,4
2609,635,47,48,24,4,4,4
1639,636,47,48,24,4,4,4
1148,637,47,48,24,4,4,4
671,638,47,48,24,4,4,4
2597,639,47,48,24,4,4,4
9,640,47,48,24,4,4,4
127,641,47,48,24,4,4,4
1590,642,47,48,24,4,4,4
1892,643,47,48,24,4,4,4
2520,644,47,48,24,4,4,4
478,645,47,48,24,4,4,4
1684,646,47,48,24,4,4,4
1804,647,47,48,24,4,4,4
967,648,47,48,24,4,4,4
2541,649,47,48,24,4,4,4
2262,650,49,50,25,2,2,2
1190,651,49,50,25,2,2,2
527,652,49,50,25,2,2,2
1131,653,49,50,25,2,2,2
1742,654,49,50,25,2,2,2
1248,655,49,50,25,2,2,2
885,656,49,50,25,2,2,2
4,657,49,50,25,2,2,2
1474,658,49,50,25,2,2,2
1692,659,49,50,25,2,2,2
1962,660,49,50,25,2,2,2
92,661,49,50,25,2,2,2
2360,662,49,50,25,2,2,2
1678,663,49,50,25,2,2,2
839,664,49,50,25,2,2,2
1979,665,49,50,25,2,2,2
1294,666,49,50,25,2,2,2
1936,667,49,50,25,2,2,2
2688,668,51,52,26,1,1,1
2703,669,51,52,26,1,1,1
2684,670,51,52,26,1,1,1
2699,671,51,52,26,1,1,1
2690,672,51,52,26,1,1,1
2698,673,51,52,26,1,1,1
2712,674,51,52,26,1,1,1
2695,675,51,52,26,1,1,1
2704,676,51,52,26,1,1,1
2707,677,51,52,26,1,1,1
2716,678,51,52,26,1,1,1
2722,679,51,52,26,1,1,1
2685,680,51,52,26,1,1,1
2696,681,51,52,26,1,1,1
2718,682,51,52,26,1,1,1
2689,683,51,52,26,1,1,1
2719,684,51,52,26,1,1,1
2723,685,51,52,26,1,1,1
2700,686,51,52,26,1,1,1
2709,687,51,52,26,1,1,1
2717,688,51,52,26,1,1,1
2724,689,51,52,26,1,1,1
2692,690,51,52,26,1,1,1
2714,691,51,52,26,1,1,1
2710,692,51,52,26,1,1,1
649,693,53,54,27,1,1,1
408,694,53,54,27,1,1,1
2640,695,53,54,27,1,1,1
1739,696,53,54,27,1,1,1
2051,697,53,54,27,1,1,1
2267,698,53,54,27,1,1,1
1035,699,53,54,27,1,1,1
2658,700,53,54,27,1,1,1
326,701,53,54,27,1,1,1
204,702,53,54,27,1,1,1
792,703,53,54,27,1,1,1
1316,704,53,54,27,1,1,1
469,705,53,54,27,1,1,1
694,706,53,54,27,1,1,1
2351,707,53,54,27,1,1,1
2375,708,53,54,27,1,1,1
1891,709,53,54,27,1,1,1
624,710,53,54,27,1,1,1
564,711,53,54,27,1,1,1
124,712,53,54,27,1,1,1
679,713,53,54,27,1,1,1
1123,714,53,54,27,1,1,1
95,715,53,54,27,1,1,1
1028,716,53,54,27,1,1,1
2599,717,53,54,27,1,1,1
578,718,53,54,27,1,1,1
1007,719,53,54,27,1,1,1
356,720,55,56,28,3,3,3
640,721,55,56,28,3,3,3
269,722,55,56,28,3,3,3
